target_axis_offset,mode,bit_position,block_size,nonzero_indices,nonzero_values
2,WEIGHT16,0,1,"[[   0, 187,1748]]",[1.]
2,WEIGHT16,0,2,"[[   0, 186,1748],
 [   0, 187,1748]]","[1.,1.]"
2,WEIGHT16,0,3,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[-1.,-1.,-1.]"
2,WEIGHT16,0,4,"[[   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748]]","[-1.,-1.,-1.,-1.]"
2,WEIGHT16,0,5,"[[   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748]]","[-1.,-1.,-1.,-1.,-1.]"
2,WEIGHT16,0,6,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,7,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,8,"[[   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,9,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,10,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,11,"[[   0, 176,1748],
 [   0, 177,1748],
 [   0, 178,1748],
 [   0, 179,1748],
 [   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,12,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.]"
2,WEIGHT16,0,13,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,14,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748],
 [   0, 195,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,0,15,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748]]","[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]"
2,WEIGHT16,1,1,"[[   0, 187,1748]]",[2.]
2,WEIGHT16,1,2,"[[   0, 186,1748],
 [   0, 187,1748]]","[2.,2.]"
2,WEIGHT16,1,3,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[2.,2.,2.]"
2,WEIGHT16,1,4,"[[   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748]]","[2.,2.,2.,2.]"
2,WEIGHT16,1,5,"[[   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748]]","[2.,2.,2.,2.,2.]"
2,WEIGHT16,1,6,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,7,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,8,"[[   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.]"
2,WEIGHT16,1,9,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[2.,2.,2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,10,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748]]","[2.,2.,2.,2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,11,"[[   0, 176,1748],
 [   0, 177,1748],
 [   0, 178,1748],
 [   0, 179,1748],
 [   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748]]","[-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.]"
2,WEIGHT16,1,12,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,13,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748]]","[-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.,-2.]"
2,WEIGHT16,1,14,"[[   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748],
 [   0, 195,1748]]","[2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,1,15,"[[   0, 180,1748],
 [   0, 181,1748],
 [   0, 182,1748],
 [   0, 183,1748],
 [   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748],
 [   0, 192,1748],
 [   0, 193,1748],
 [   0, 194,1748]]","[2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.]"
2,WEIGHT16,2,1,"[[   0, 187,1748]]",[4.]
2,WEIGHT16,2,2,"[[   0, 186,1748],
 [   0, 187,1748]]","[4.,4.]"
2,WEIGHT16,2,3,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748]]","[4.,4.,4.]"
2,WEIGHT16,2,4,"[[   0, 184,1748],
 [   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748]]","[4.,4.,4.,4.]"
2,WEIGHT16,2,5,"[[   0, 185,1748],
 [   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748]]","[-4.,-4.,-4.,-4.,-4.]"
2,WEIGHT16,2,6,"[[   0, 186,1748],
 [   0, 187,1748],
 [   0, 188,1748],
 [   0, 189,1748],
 [   0, 190,1748],
 [   0, 191,1748]]","[-4.,-4.,-4.,-4.,-4.,-4.]"
