layer_config,fault_model,bit_position,faulty_norm,max_abs_val,nonzero_count
decoder-merge-20_gate_proj.json,INPUT,3,0.151,0.006554,10856
decoder-merge-20_gate_proj.json,WEIGHT,3,5.48,2.277,10
decoder-merge-20_gate_proj.json,INPUT16,3,0.005753,0.00285,16
decoder-merge-20_gate_proj.json,WEIGHT16,3,9.32,3.496,10
decoder-merge-20_k_proj.json,INPUT,3,0.08954,0.00587,3936
decoder-merge-20_k_proj.json,WEIGHT,3,3.428,1.917,10
decoder-merge-20_k_proj.json,INPUT16,3,0.006622,0.00296,16
decoder-merge-20_k_proj.json,WEIGHT16,3,5.33,2.416,10
decoder-merge-20_up_proj.json,INPUT,3,0.11865,0.005116,10829
decoder-merge-20_up_proj.json,WEIGHT,3,4.047,1.745,10
decoder-merge-20_up_proj.json,INPUT16,3,0.0045,0.002228,16
decoder-merge-20_up_proj.json,WEIGHT16,3,3.582,1.808,10
decoder-merge-20_v_proj.json,INPUT,3,0.0661,0.003796,4041
decoder-merge-20_v_proj.json,WEIGHT,3,4.22,1.849,10
decoder-merge-20_v_proj.json,INPUT16,3,0.004395,0.00248,16
decoder-merge-20_v_proj.json,WEIGHT16,3,4.977,2.326,10
decoder-merge-20_q_proj.json,INPUT,3,0.0836,0.004814,3964
decoder-merge-20_q_proj.json,WEIGHT,3,4.215,2.393,10
decoder-merge-20_q_proj.json,INPUT16,3,0.005302,0.002853,16
decoder-merge-20_q_proj.json,WEIGHT16,3,5.12,2.62,10
decoder-merge-20_o_proj.json,INPUT,3,0.1108,0.007183,4045
decoder-merge-20_o_proj.json,WEIGHT,3,20.03,6.707,10
decoder-merge-20_o_proj.json,INPUT16,3,0.007526,0.003542,16
decoder-merge-20_o_proj.json,WEIGHT16,3,10.695,3.56,10
decoder-merge-20_down_proj.json,INPUT,3,0.09485,0.005783,4042
decoder-merge-20_down_proj.json,WEIGHT,3,0.995,0.562,7
decoder-merge-20_down_proj.json,INPUT16,3,0.00703,0.00434,16
decoder-merge-20_down_proj.json,WEIGHT16,3,3.021,1.342,10
