value,bit_pos,input_binary,result,result_binary,expected,expected_binary,match
-inf,0,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000000001,0
-inf,1,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000000010,0
-inf,2,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000000100,0
-inf,3,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000001000,0
-inf,4,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000010000,0
-inf,5,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0000100000,0
-inf,6,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0001000000,0
-inf,7,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0010000000,0
-inf,8,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 0100000000,0
-inf,9,1 11111 0000000000,-inf,1 11111 0000000000,nan,1 11111 1000000000,0
-inf,10,1 11111 0000000000,-inf,1 11111 0000000000,-32768.0,1 11110 0000000000,0
-inf,11,1 11111 0000000000,-inf,1 11111 0000000000,-16384.0,1 11101 0000000000,0
-inf,12,1 11111 0000000000,-inf,1 11111 0000000000,-4096.0,1 11011 0000000000,0
-inf,13,1 11111 0000000000,-inf,1 11111 0000000000,-256.0,1 10111 0000000000,0
-inf,14,1 11111 0000000000,-inf,1 11111 0000000000,-1.0,1 01111 0000000000,0
-inf,15,1 11111 0000000000,inf,0 11111 0000000000,inf,0 11111 0000000000,1
-32768.0,0,1 11110 0000000000,-32800.0,1 11110 0000000001,-32800.0,1 11110 0000000001,1
-32768.0,1,1 11110 0000000000,-32832.0,1 11110 0000000010,-32832.0,1 11110 0000000010,1
-32768.0,2,1 11110 0000000000,-32896.0,1 11110 0000000100,-32896.0,1 11110 0000000100,1
-32768.0,3,1 11110 0000000000,-33024.0,1 11110 0000001000,-33024.0,1 11110 0000001000,1
-32768.0,4,1 11110 0000000000,-33280.0,1 11110 0000010000,-33280.0,1 11110 0000010000,1
-32768.0,5,1 11110 0000000000,-33792.0,1 11110 0000100000,-33792.0,1 11110 0000100000,1
-32768.0,6,1 11110 0000000000,-34816.0,1 11110 0001000000,-34816.0,1 11110 0001000000,1
-32768.0,7,1 11110 0000000000,-36864.0,1 11110 0010000000,-36864.0,1 11110 0010000000,1
